name,url,State,Party,Served,District
"Representative Studds, Gerry E.",https://www.congress.gov/member/gerry-studds/S001040,Massachusetts,Democratic,House: 1973-1997,10
"Representative Stump, Bob",https://www.congress.gov/member/bob-stump/S001044,Arizona,Republican,House: 1977-2003,3
"Representative Stupak, Bart",https://www.congress.gov/member/bart-stupak/S001045,Michigan,Democratic,House: 1993-2011,1
"Representative Stutzman, Marlin A.",https://www.congress.gov/member/marlin-stutzman/S001188,Indiana,Republican,House: 2010-2017,3
"Senator Sullivan, Dan",https://www.congress.gov/member/dan-sullivan/S001198,Alaska,Republican,Senate: 2015-Present,
"Representative Sullivan, John",https://www.congress.gov/member/john-sullivan/S001155,Oklahoma,Republican,House: 2002-2013,1
"Representative Sullivan, Leonor K. (Mrs. John B.)",https://www.congress.gov/member/leonor-sullivan/S001057,Missouri,Democratic,House: 1953-1977,3
"Representative Sundquist, Don",https://www.congress.gov/member/donald-sundquist/S001075,Tennessee,Republican,House: 1983-1995,7
"Delegate Sunia, Foto I. F.",https://www.congress.gov/member/foto-sunia/S001077,American Samoa,Democratic,House: 1981-1989,At Large
"Senator Sununu, John E.",https://www.congress.gov/member/john-sununu/S001078,New Hampshire,Republican,Senate: 2003-2009 House: 1997-2003,
"Representative Suozzi, Thomas R.",https://www.congress.gov/member/thomas-suozzi/S001201,New York,Democratic,House: 2017-Present,3
"Representative Sutton, Betty",https://www.congress.gov/member/betty-sutton/S001174,Ohio,Democratic,House: 2007-2013,13
"Representative Swalwell, Eric",https://www.congress.gov/member/eric-swalwell/S001193,California,Democratic,House: 2013-Present,15
"Representative Sweeney, David McCann",https://www.congress.gov/member/david-sweeney/S001101,Texas,Republican,House: 1985-1989,14
"Representative Sweeney, John E.",https://www.congress.gov/member/john-sweeney/S001149,New York,Republican,House: 1999-2007,20
"Representative Swett, Dick",https://www.congress.gov/member/dick-swett/S001113,New Hampshire,Democratic,House: 1991-1995,2
"Representative Swift, Al",https://www.congress.gov/member/allen-swift/S001115,Washington,Democratic,House: 1979-1995,2
"Representative Swindall, Patrick L.",https://www.congress.gov/member/patrick-swindall/S001122,Georgia,Republican,House: 1985-1989,4
"Representative Symington, James W.",https://www.congress.gov/member/james-symington/S001134,Missouri,Democratic,House: 1969-1977,2
"Senator Symington, Stuart",https://www.congress.gov/member/william-symington/S001136,Missouri,Democratic,Senate: 1953-1977,
"Senator Symms, Steven D.",https://www.congress.gov/member/steven-symms/S001138,Idaho,Republican,Senate: 1981-1993 House: 1973-1981,
"Representative Synar, Mike",https://www.congress.gov/member/michael-synar/S001139,Oklahoma,Democratic,House: 1979-1995,2
"Representative Sánchez, Linda T.",https://www.congress.gov/member/linda-snchez/S001156,California,Democratic,House: 2003-Present,38
"Senator Taft, Robert, Jr.",https://www.congress.gov/member/robert-taft/T000010,Ohio,Republican,"Senate: 1971-1977 House: 1963-1965, 1967-1971",
"Representative Takai, Mark",https://www.congress.gov/member/mark-takai/T000473,Hawaii,Democratic,House: 2015-2016,1
"Representative Takano, Mark",https://www.congress.gov/member/mark-takano/T000472,California,Democratic,House: 2013-Present,41
"Representative Talcott, Burt L.",https://www.congress.gov/member/burt-talcott/T000022,California,Republican,House: 1963-1977,16
"Senator Talent, Jim",https://www.congress.gov/member/jim-talent/T000024,Missouri,Republican,Senate: 2002-2007 House: 1993-2001,
"Representative Tallon, Robert M. (Robin)",https://www.congress.gov/member/robert-tallon/T000034,South Carolina,Democratic,House: 1983-1993,6
