name,url,State,Party,Served,District
"Senator Abdnor, James",https://www.congress.gov/member/james-abdnor/A000009,South Dakota,Republican,Senate: 1981-1987 House: 1973-1981,
"Representative Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Hawaii,Democratic,"House: 1985-1987, 1991-2011",1
"Senator Abourezk, James",https://www.congress.gov/member/james-abourezk/A000017,South Dakota,Democratic,Senate: 1973-1979 House: 1971-1973,
"Representative Abraham, Ralph Lee",https://www.congress.gov/member/ralph-abraham/A000374,Louisiana,Republican,House: 2015-2021,5
"Senator Abraham, Spencer",https://www.congress.gov/member/spencer-abraham/A000355,Michigan,Republican,Senate: 1995-2001,
"Representative Abzug, Bella S.",https://www.congress.gov/member/bella-abzug/A000018,New York,Democratic,House: 1971-1977,20
"Resident Commissioner Acevedo-Vila, Anibal",https://www.congress.gov/member/anibal-acevedo-vila/A000359,Puerto Rico,Democratic,House: 2001-2005,At Large
"Representative Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,New York,Democratic,House: 1983-2013,5
"Representative Adams, Alma S.",https://www.congress.gov/member/alma-adams/A000370,North Carolina,Democratic,House: 2014-Present,12
"Senator Adams, Brock",https://www.congress.gov/member/brockman-adams/A000031,Washington,Democratic,Senate: 1987-1993 House: 1965-1979,
"Representative Adams, Sandy",https://www.congress.gov/member/sandy-adams/A000366,Florida,Republican,House: 2011-2013,24
"Representative Addabbo, Joseph P.",https://www.congress.gov/member/joseph-addabbo/A000052,New York,Democratic,House: 1961-1987,6
"Representative Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Alabama,Republican,House: 1997-Present,4
"Representative Adler, John H.",https://www.congress.gov/member/john-adler/A000364,New Jersey,Democratic,House: 2009-2011,3
"Representative Aguilar, Pete",https://www.congress.gov/member/pete-aguilar/A000371,California,Democratic,House: 2015-Present,31
"Senator Aiken, George",https://www.congress.gov/member/george-aiken/A000062,Vermont,Republican,Senate: 1941-1975,
"Senator Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Hawaii,Democratic,Senate: 1990-2013 House: 1977-1991,
"Representative Akin, W. Todd",https://www.congress.gov/member/w-akin/A000358,Missouri,Republican,House: 2001-2013,2
"Representative Albert, Carl",https://www.congress.gov/member/carl-albert/A000073,Oklahoma,Democratic,House: 1947-1977,3
"Representative Albosta, Donald J.",https://www.congress.gov/member/donald-albosta/A000076,Michigan,Democratic,House: 1979-1985,10
"Representative Alexander, Bill",https://www.congress.gov/member/william-alexander/A000103,Arkansas,Democratic,House: 1969-1993,1
"Senator Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Tennessee,Republican,Senate: 2003-2021,
"Representative Alexander, Rodney",https://www.congress.gov/member/rodney-alexander/A000361,Louisiana,Republican,House: 2003-2013,5
"Senator Allard, Wayne",https://www.congress.gov/member/a-allard/A000109,Colorado,Republican,Senate: 1997-2009 House: 1991-1997,
"Representative Allen, Clifford R.",https://www.congress.gov/member/clifford-allen/A000118,Tennessee,Democratic,House: 1975-1979,5
"Senator Allen, George",https://www.congress.gov/member/george-allen/A000121,Virginia,Republican,Senate: 2001-2007 House: 1991-1993,
"Senator Allen, James B.",https://www.congress.gov/member/james-allen/A000127,Alabama,Democratic,Senate: 1969-1979,
"Senator Allen, Maryon",https://www.congress.gov/member/maryon-allen/A000139,Alabama,Democratic,Senate: 1977-1979,
"Representative Allen, Rick W.",https://www.congress.gov/member/rick-allen/A000372,Georgia,Republican,House: 2015-Present,12
"Representative Allen, Thomas H.",https://www.congress.gov/member/thomas-allen/A000357,Maine,Democratic,House: 1997-2009,1
"Representative Allred, Colin Z.",https://www.congress.gov/member/colin-allred/A000376,Texas,Democratic,House: 2019-Present,32
"Representative Altmire, Jason",https://www.congress.gov/member/jason-altmire/A000362,Pennsylvania,Democratic,House: 2007-2013,4
"Representative Amash, Justin",https://www.congress.gov/member/justin-amash/A000367,Michigan,Libertarian,House: 2011-2021,3
"Representative Ambro, Jerome A.",https://www.congress.gov/member/jerome-ambro/A000170,New York,Democratic,House: 1975-1981,3
"Representative Ammerman, Joseph S.",https://www.congress.gov/member/joseph-ammerman/A000177,Pennsylvania,Democratic,House: 1977-1979,23
"Representative Amodei, Mark E.",https://www.congress.gov/member/mark-amodei/A000369,Nevada,Republican,House: 2011-Present,2
"Representative Anderson, Glenn M.",https://www.congress.gov/member/glenn-anderson/A000189,California,Democratic,House: 1969-1993,32
"Representative Anderson, John B.",https://www.congress.gov/member/john-anderson/A000195,Illinois,Republican,House: 1961-1981,16
"Senator Anderson, Wendell R.",https://www.congress.gov/member/wendell-anderson/A000202,Minnesota,Democratic,Senate: 1977-1979,
"Representative Andrews, Ike",https://www.congress.gov/member/ike-andrews/A000207,North Carolina,Democratic,House: 1973-1985,4
"Senator Andrews, Mark",https://www.congress.gov/member/mark-andrews/A000208,North Dakota,Republican,Senate: 1981-1987 House: 1963-1981,
"Representative Andrews, Michael",https://www.congress.gov/member/michael-andrews/A000209,Texas,Democratic,House: 1983-1995,25
"Representative Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,New Jersey,Democratic,House: 1989-2014,1
"Representative Andrews, Thomas H.",https://www.congress.gov/member/thomas-andrews/A000211,Maine,Democratic,House: 1991-1995,1
"Representative Annunzio, Frank",https://www.congress.gov/member/frank-annunzio/A000212,Illinois,Democratic,House: 1965-1993,11
"Representative Anthony, Beryl, Jr.",https://www.congress.gov/member/beryl-anthony/A000213,Arkansas,Democratic,House: 1979-1993,4
"Representative Applegate, Douglas",https://www.congress.gov/member/douglas-applegate/A000214,Ohio,Democratic,House: 1977-1995,18
"Representative Archer, Bill",https://www.congress.gov/member/bill-archer/A000215,Texas,Republican,House: 1971-2001,7
"Representative Arcuri, Michael A.",https://www.congress.gov/member/michael-arcuri/A000363,New York,Democratic,House: 2007-2011,24
"Representative Arends, Leslie C.",https://www.congress.gov/member/leslie-arends/A000216,Illinois,Republican,House: 1935-1975,15
"Representative Armey, Richard K.",https://www.congress.gov/member/dick-armey/A000217,Texas,Republican,House: 1985-2003,26
"Representative Armstrong, Kelly",https://www.congress.gov/member/kelly-armstrong/A000377,North Dakota,Republican,House: 2019-Present,At Large
"Senator Armstrong, William L.",https://www.congress.gov/member/william-armstrong/A000219,Colorado,Republican,Senate: 1979-1991 House: 1973-1979,
"Representative Arrington, Jodey C.",https://www.congress.gov/member/jodey-arrington/A000375,Texas,Republican,House: 2017-Present,19
"Representative Ashbrook, Jean",https://www.congress.gov/member/jean-ashbrook/A000220,Ohio,Republican,House: 1981-1983,17
"Representative Ashbrook, John M.",https://www.congress.gov/member/john-ashbrook/A000221,Ohio,Republican,House: 1961-1983,17
"Senator Ashcroft, John",https://www.congress.gov/member/john-ashcroft/A000356,Missouri,Republican,Senate: 1995-2001,
"Representative Ashford, Brad",https://www.congress.gov/member/brad-ashford/A000373,Nebraska,Democratic,House: 2015-2017,2
"Representative Ashley, Thomas L.",https://www.congress.gov/member/thomas-ashley/A000222,Ohio,Democratic,House: 1955-1981,9
"Representative Aspin, Les",https://www.congress.gov/member/les-aspin/A000224,Wisconsin,Democratic,House: 1971-1995,1
"Representative Atkins, Chester G.",https://www.congress.gov/member/chester-atkins/A000226,Massachusetts,Democratic,House: 1985-1993,5
"Representative Atkinson, Eugene V.",https://www.congress.gov/member/eugene-atkinson/A000329,Pennsylvania,Democratic,House: 1979-1983,25
"Representative Auchincloss, Jake",https://www.congress.gov/member/jake-auchincloss/A000148,Massachusetts,Democratic,House: 2021-Present,4
"Representative AuCoin, Les",https://www.congress.gov/member/les-aucoin/A000337,Oregon,Democratic,House: 1975-1993,1
"Representative Austria, Steve",https://www.congress.gov/member/steve-austria/A000365,Ohio,Republican,House: 2009-2013,7
"Representative Axne, Cynthia",https://www.congress.gov/member/cynthia-axne/A000378,Iowa,Democratic,House: 2019-Present,3
"Senator Ayotte, Kelly",https://www.congress.gov/member/kelly-ayotte/A000368,New Hampshire,Republican,Senate: 2011-2017,
"Representative Babin, Brian",https://www.congress.gov/member/brian-babin/B001291,Texas,Republican,House: 2015-Present,36
"Representative Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,California,Democratic,House: 1999-2013,43
"Representative Bacchus, Jim",https://www.congress.gov/member/jim-bacchus/B000008,Florida,Democratic,House: 1991-1995,15
"Representative Bachmann, Michele",https://www.congress.gov/member/michele-bachmann/B001256,Minnesota,Republican,House: 2007-2015,6
"Representative Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Alabama,Republican,House: 1993-2015,6
"Representative Bacon, Don",https://www.congress.gov/member/don-bacon/B001298,Nebraska,Republican,House: 2017-Present,2
"Representative Badham, Robert E.",https://www.congress.gov/member/robert-badham/B000024,California,Republican,House: 1977-1989,40
"Representative Badillo, Herman",https://www.congress.gov/member/herman-badillo/B000025,New York,Democratic,House: 1971-1979,21
"Representative Baesler, Scotty",https://www.congress.gov/member/scotty-baesler/B000028,Kentucky,Democratic,House: 1993-1999,6
"Representative Bafalis, L. A. (Skip)",https://www.congress.gov/member/l-bafalis/B000029,Florida,Republican,House: 1973-1983,10
"Representative Bailey, Donald A.",https://www.congress.gov/member/donald-bailey/B000037,Pennsylvania,Democratic,House: 1979-1983,21
"Representative Bailey, Wendell",https://www.congress.gov/member/wendell-bailey/B000047,Missouri,Republican,House: 1981-1983,8
"Representative Baird, Brian",https://www.congress.gov/member/brian-baird/B001229,Washington,Democratic,House: 1999-2011,3
"Representative Baird, James R.",https://www.congress.gov/member/james-baird/B001307,Indiana,Republican,House: 2019-Present,4
"Representative Baker, Bill",https://www.congress.gov/member/bill-baker/B000078,California,Republican,House: 1993-1997,10
"Senator Baker, Howard H., Jr.",https://www.congress.gov/member/howard-baker/B000063,Tennessee,Republican,Senate: 1967-1985,
"Representative Baker, LaMar",https://www.congress.gov/member/lamar-baker/B000069,Tennessee,Republican,House: 1971-1975,3
"Representative Baker, Richard H.",https://www.congress.gov/member/richard-baker/B000072,Louisiana,Republican,House: 1987-2008,6
"Representative Baldacci, John Elias",https://www.congress.gov/member/john-baldacci/B000081,Maine,Democratic,House: 1995-2003,2
"Representative Balderson, Troy",https://www.congress.gov/member/troy-balderson/B001306,Ohio,Republican,House: 2018-Present,12
"Representative Baldus, Alvin J.",https://www.congress.gov/member/alvin-baldus/B000083,Wisconsin,Democratic,House: 1975-1981,3
"Senator Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Wisconsin,Democratic,Senate: 2013-Present House: 1999-2013,
"Representative Ballance, Frank W., Jr.",https://www.congress.gov/member/frank-ballance/B001238,North Carolina,Democratic,House: 2003-2004,1
"Representative Ballenger, Cass",https://www.congress.gov/member/cass-ballenger/B000104,North Carolina,Republican,House: 1985-2005,10
"Representative Banks, Jim",https://www.congress.gov/member/jim-banks/B001299,Indiana,Republican,House: 2017-Present,3
"Representative Barber, Ron",https://www.congress.gov/member/ron-barber/B001279,Arizona,Democratic,House: 2012-2015,2
"Representative Barca, Peter",https://www.congress.gov/member/peter-barca/B001226,Wisconsin,Democratic,House: 1993-1995,1
"Representative Barcia, James A.",https://www.congress.gov/member/james-barcia/B000134,Michigan,Democratic,House: 1993-2003,5
"Senator Barkley, Dean M.",https://www.congress.gov/member/dean-barkley/B001237,Minnesota,Independent,Senate: 2002-2003,
"Representative Barletta, Lou",https://www.congress.gov/member/lou-barletta/B001269,Pennsylvania,Republican,House: 2011-2019,11
"Representative Barlow, Tom",https://www.congress.gov/member/tom-barlow/B000151,Kentucky,Democratic,House: 1993-1995,1
"Representative Barnard, Doug, Jr.",https://www.congress.gov/member/doug-barnard/B000153,Georgia,Democratic,House: 1977-1993,10
"Representative Barnes, Michael D.",https://www.congress.gov/member/michael-barnes/B000160,Maryland,Democratic,House: 1979-1987,8
"Representative Barr, Andy",https://www.congress.gov/member/andy-barr/B001282,Kentucky,Republican,House: 2013-Present,6
"Representative Barr, Bob",https://www.congress.gov/member/bob-barr/B000169,Georgia,Republican,House: 1995-2003,7
"Representative Barragan, Nanette Diaz",https://www.congress.gov/member/nanette-barragan/B001300,California,Democratic,House: 2017-Present,44
"Senator Barrasso, John",https://www.congress.gov/member/john-barrasso/B001261,Wyoming,Republican,Senate: 2007-Present,
"Representative Barrett, Bill",https://www.congress.gov/member/bill-barrett/B000179,Nebraska,Republican,House: 1991-2001,3
"Representative Barrett, J. Gresham",https://www.congress.gov/member/j-barrett/B001239,South Carolina,Republican,House: 2003-2011,3
"Representative Barrett, Thomas M.",https://www.congress.gov/member/thomas-barrett/B000177,Wisconsin,Democratic,House: 1993-2003,5
"Representative Barrett, William A.",https://www.congress.gov/member/william-barrett/B000178,Pennsylvania,Democratic,"House: 1945-1947, 1949-1977",1
"Representative Barrow, John",https://www.congress.gov/member/john-barrow/B001252,Georgia,Democratic,House: 2005-2015,12
"Senator Bartlett, Dewey F.",https://www.congress.gov/member/dewey-bartlett/B000200,Oklahoma,Republican,Senate: 1973-1979,
"Representative Bartlett, Roscoe G.",https://www.congress.gov/member/roscoe-bartlett/B000208,Maryland,Republican,House: 1993-2013,6
"Representative Bartlett, Steve",https://www.congress.gov/member/steve-bartlett/B000204,Texas,Republican,House: 1983-1993,3
"Representative Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Texas,Republican,House: 1985-2019,6
"Representative Bass, Charles F.",https://www.congress.gov/member/charles-bass/B000220,New Hampshire,Republican,"House: 1995-2007, 2011-2013",2
"Representative Bass, Karen",https://www.congress.gov/member/karen-bass/B001270,California,Democratic,House: 2011-Present,37
"Representative Bateman, Herbert H.",https://www.congress.gov/member/herbert-bateman/B000229,Virginia,Republican,House: 1983-2001,1
"Representative Bates, Jim",https://www.congress.gov/member/jim-bates/B000236,California,Democratic,House: 1983-1991,44
"Senator Baucus, Max",https://www.congress.gov/member/max-baucus/B000243,Montana,Democratic,Senate: 1979-2014 House: 1975-1979,
"Representative Bauman, Robert E.",https://www.congress.gov/member/robert-bauman/B000244,Maryland,Republican,House: 1973-1981,1
"Senator Bayh, Birch",https://www.congress.gov/member/birch-bayh/B000254,Indiana,Democratic,Senate: 1963-1981,
"Senator Bayh, Evan",https://www.congress.gov/member/evan-bayh/B001233,Indiana,Democratic,Senate: 1999-2011,
"Senator Beall, J. Glenn, Jr.",https://www.congress.gov/member/john-beall/B000272,Maryland,Republican,Senate: 1973-1977 House: 1969-1971,
"Representative Bean, Melissa L.",https://www.congress.gov/member/melissa-bean/B001253,Illinois,Democratic,House: 2005-2011,8
"Representative Beard, Edward",https://www.congress.gov/member/edward-beard/B000279,Rhode Island,Democratic,House: 1975-1981,2
"Representative Beard, Robin",https://www.congress.gov/member/robin-beard/B000280,Tennessee,Republican,House: 1973-1983,6
"Representative Beatty, Joyce",https://www.congress.gov/member/joyce-beatty/B001281,Ohio,Democratic,House: 2013-Present,3
"Representative Beauprez, Bob",https://www.congress.gov/member/bob-beauprez/B001240,Colorado,Republican,House: 2003-2007,7
"Representative Becerra, Xavier",https://www.congress.gov/member/xavier-becerra/B000287,California,Democratic,House: 1993-2017,34
"Representative Bedell, Berkley W.",https://www.congress.gov/member/berkley-bedell/B000298,Iowa,Democratic,House: 1975-1987,6
"Senator Begich, Mark",https://www.congress.gov/member/mark-begich/B001265,Alaska,Democratic,Senate: 2009-2015,
"Representative Beilenson, Anthony C.",https://www.congress.gov/member/anthony-beilenson/B000318,California,Democratic,House: 1977-1997,24
"Representative Bell, Alphonzo",https://www.congress.gov/member/alphonzo-bell/B000330,California,Republican,House: 1961-1977,27
"Representative Bell, Chris",https://www.congress.gov/member/chris-bell/B001241,Texas,Democratic,House: 2003-2005,25
"Senator Bellmon, Henry L.",https://www.congress.gov/member/henry-bellmon/B000351,Oklahoma,Republican,Senate: 1969-1981,
"Representative Benedict, Cleve",https://www.congress.gov/member/cleve-benedict/B000358,West Virginia,Republican,House: 1981-1983,2
"Representative Benishek, Dan",https://www.congress.gov/member/dan-benishek/B001271,Michigan,Republican,House: 2011-2017,1
"Resident Commissioner Benitez, Jamie",https://www.congress.gov/member/jamie-benitez/B000362,Puerto Rico,Democratic,House: 1973-1977,At Large
"Representative Benjamin, Adam, Jr.",https://www.congress.gov/member/adam-benjamin/B000363,Indiana,Democratic,House: 1977-1983,1
"Senator Bennet, Michael F.",https://www.congress.gov/member/michael-bennet/B001267,Colorado,Democratic,Senate: 2009-Present,
"Representative Bennett, Charles E.",https://www.congress.gov/member/charles-bennett/B000371,Florida,Democratic,House: 1949-1993,3
"Senator Bennett, Robert F.",https://www.congress.gov/member/robert-bennett/B000382,Utah,Republican,Senate: 1993-2011,
"Senator Bennett, Wallace F.",https://www.congress.gov/member/wallace-bennett/B000384,Utah,Republican,Senate: 1951-1975,
"Representative Bentivolio, Kerry L.",https://www.congress.gov/member/kerry-bentivolio/B001280,Michigan,Republican,House: 2013-2015,11
"Representative Bentley, Helen Delich",https://www.congress.gov/member/helen-bentley/B000392,Maryland,Republican,House: 1985-1995,2
"Representative Bentsen, Ken",https://www.congress.gov/member/ken-bentsen/B000400,Texas,Democratic,House: 1995-2003,25
"Senator Bentsen, Lloyd M.",https://www.congress.gov/member/lloyd-bentsen/B000401,Texas,Democratic,Senate: 1971-1993 House: 1947-1955,
"Representative Bentz, Cliff",https://www.congress.gov/member/cliff-bentz/B000668,Oregon,Republican,House: 2021-Present,2
"Representative Bera, Ami",https://www.congress.gov/member/ami-bera/B001287,California,Democratic,House: 2013-Present,7
"Representative Bereuter, Doug",https://www.congress.gov/member/douglas-bereuter/B000403,Nebraska,Republican,House: 1979-2004,1
"Representative Berg, Rick",https://www.congress.gov/member/rick-berg/B001272,North Dakota,Republican,House: 2011-2013,At Large
"Representative Bergland, Bob",https://www.congress.gov/member/robert-bergland/B000408,Minnesota,Republican,House: 1971-1979,7
"Representative Bergman, Jack",https://www.congress.gov/member/jack-bergman/B001301,Michigan,Republican,House: 2017-Present,1
"Representative Berkley, Shelley",https://www.congress.gov/member/shelley-berkley/B001231,Nevada,Democratic,House: 1999-2013,1
"Representative Berman, Howard L.",https://www.congress.gov/member/howard-berman/B000410,California,Democratic,House: 1983-2013,28
"Representative Berry, Marion",https://www.congress.gov/member/marion-berry/B000420,Arkansas,Democratic,House: 1997-2011,1
"Representative Bethune, Ed",https://www.congress.gov/member/edwin-bethune/B000422,Arkansas,Republican,House: 1979-1985,2
"Representative Bevill, Tom",https://www.congress.gov/member/tom-bevill/B000431,Alabama,Democratic,House: 1967-1997,4
"Representative Beyer, Donald S., Jr.",https://www.congress.gov/member/donald-beyer/B001292,Virginia,Democratic,House: 2015-Present,8
"Representative Biaggi, Mario",https://www.congress.gov/member/mario-biaggi/B000432,New York,Democratic,House: 1969-1989,19
"Senator Bible, Alan",https://www.congress.gov/member/alan-bible/B000436,Nevada,Democratic,Senate: 1953-1975,
"Representative Bice, Stephanie I.",https://www.congress.gov/member/stephanie-bice/B000740,Oklahoma,Republican,House: 2021-Present,5
"Senator Biden, Joseph R., Jr.",https://www.congress.gov/member/joseph-biden/B000444,Delaware,Democratic,Senate: 1973-2009,
"Representative Biester, Edward G., Jr.",https://www.congress.gov/member/edward-biester/B000451,Pennsylvania,Republican,House: 1967-1977,8
"Representative Biggert, Judy",https://www.congress.gov/member/judy-biggert/B001232,Illinois,Republican,House: 1999-2013,13
"Representative Biggs, Andy",https://www.congress.gov/member/andy-biggs/B001302,Arizona,Republican,House: 2017-Present,5
"Representative Bilbray, Brian P.",https://www.congress.gov/member/brian-bilbray/B000461,California,Republican,"House: 1995-2001, 2005-2013",50
"Representative Bilbray, James H.",https://www.congress.gov/member/james-bilbray/B000462,Nevada,Democratic,House: 1987-1995,1
"Representative Bilirakis, Gus M.",https://www.congress.gov/member/gus-bilirakis/B001257,Florida,Republican,House: 2007-Present,12
"Representative Bilirakis, Michael",https://www.congress.gov/member/michael-bilirakis/B000463,Florida,Republican,House: 1983-2007,9
"Senator Bingaman, Jeff",https://www.congress.gov/member/jesse-bingaman/B000468,New Mexico,Democratic,Senate: 1983-2013,
"Representative Bingham, Jonathan B.",https://www.congress.gov/member/jonathan-bingham/B000472,New York,Democratic,House: 1965-1983,22
"Representative Bishop, Dan",https://www.congress.gov/member/dan-bishop/B001311,North Carolina,Republican,House: 2019-Present,9
"Representative Bishop, Mike",https://www.congress.gov/member/mike-bishop/B001293,Michigan,Republican,House: 2015-2019,8
"Representative Bishop, Rob",https://www.congress.gov/member/rob-bishop/B001250,Utah,Republican,House: 2003-2021,1
"Representative Bishop, Sanford D., Jr.",https://www.congress.gov/member/sanford-bishop/B000490,Georgia,Democratic,House: 1993-Present,2
"Representative Bishop, Timothy H.",https://www.congress.gov/member/timothy-bishop/B001242,New York,Democratic,House: 2003-2015,1
"Representative Black, Diane",https://www.congress.gov/member/diane-black/B001273,Tennessee,Republican,House: 2011-2019,6
"Representative Blackburn, Ben",https://www.congress.gov/member/ben-blackburn/B000506,Georgia,Republican,House: 1967-1975,4
"Senator Blackburn, Marsha",https://www.congress.gov/member/marsha-blackburn/B001243,Tennessee,Republican,Senate: 2019-Present House: 2003-2019,
"Representative Blackwell, Lucien E.",https://www.congress.gov/member/lucien-blackwell/B000517,Pennsylvania,Democratic,House: 1991-1995,2
"Representative Blagojevich, Rod R.",https://www.congress.gov/member/rod-blagojevich/B000518,Illinois,Democratic,House: 1997-2003,5
"Representative Blanchard, James",https://www.congress.gov/member/james-blanchard/B000538,Michigan,Democratic,House: 1975-1983,18
"Representative Blatnik, John Anton",https://www.congress.gov/member/john-blatnik/B000550,Minnesota,Democratic,House: 1947-1975,8
"Delegate Blaz, Ben G.",https://www.congress.gov/member/ben-blaz/B000551,Guam,Republican,House: 1985-1993,At Large
"Representative Bliley, Tom",https://www.congress.gov/member/thomas-bliley/B000556,Virginia,Republican,House: 1981-2001,7
"Representative Blouin, Michael",https://www.congress.gov/member/michael-blouin/B000567,Iowa,Democratic,House: 1975-1979,2
"Representative Blum, Rod",https://www.congress.gov/member/rod-blum/B001294,Iowa,Republican,House: 2015-2019,1
"Representative Blumenauer, Earl",https://www.congress.gov/member/earl-blumenauer/B000574,Oregon,Democratic,House: 1995-Present,3
"Senator Blumenthal, Richard",https://www.congress.gov/member/richard-blumenthal/B001277,Connecticut,Democratic,Senate: 2011-Present,
"Representative Blunt Rochester, Lisa",https://www.congress.gov/member/lisa-blunt-rochester/B001303,Delaware,Democratic,House: 2017-Present,At Large
"Senator Blunt, Roy",https://www.congress.gov/member/roy-blunt/B000575,Missouri,Republican,Senate: 2011-Present House: 1997-2011,
"Representative Blute, Peter I.",https://www.congress.gov/member/peter-blute/B000576,Massachusetts,Republican,House: 1993-1997,3
"Representative Boccieri, John A.",https://www.congress.gov/member/john-boccieri/B001263,Ohio,Democratic,House: 2009-2011,16
"Representative Boebert, Lauren",https://www.congress.gov/member/lauren-boebert/B000825,Colorado,Republican,House: 2021-Present,3
"Representative Boehlert, Sherwood",https://www.congress.gov/member/sherwood-boehlert/B000586,New York,Republican,House: 1983-2007,24
"Representative Boehner, John A.",https://www.congress.gov/member/john-boehner/B000589,Ohio,Republican,House: 1991-2015,8
"Representative Boggs, Corinne C. (Lindy)",https://www.congress.gov/member/corinne-boggs/B000592,Louisiana,Democratic,House: 1973-1991,2
"Representative Boland, Edward P.",https://www.congress.gov/member/edward-boland/B000600,Massachusetts,Democratic,House: 1953-1989,2
"Representative Bolling, Richard",https://www.congress.gov/member/richard-bolling/B000605,Missouri,Democratic,House: 1949-1983,5
"Representative Bonamici, Suzanne",https://www.congress.gov/member/suzanne-bonamici/B001278,Oregon,Democratic,House: 2012-Present,1
"Senator Bond, Christopher S.",https://www.congress.gov/member/christopher-bond/B000611,Missouri,Republican,Senate: 1987-2011,
"Representative Boner, William H.",https://www.congress.gov/member/william-boner/B000615,Tennessee,Democratic,House: 1979-1989,5
"Representative Bonilla, Henry",https://www.congress.gov/member/henry-bonilla/B000617,Texas,Republican,House: 1993-2007,23
"Representative Bonior, David E.",https://www.congress.gov/member/david-bonior/B000619,Michigan,Democratic,House: 1977-2003,10
"Representative Bonker, Don",https://www.congress.gov/member/don-bonker/B000620,Washington,Democratic,House: 1975-1989,3
"Representative Bonner, Jo",https://www.congress.gov/member/jo-bonner/B001244,Alabama,Republican,House: 2003-2013,1
"Representative Bono Mack, Mary",https://www.congress.gov/member/mary-bono-mack/B001228,California,Republican,House: 1997-2013,45
"Representative Bono, Sonny",https://www.congress.gov/member/sonny-bono/B000622,California,Republican,House: 1995-1999,44
"Senator Booker, Cory A.",https://www.congress.gov/member/cory-booker/B001288,New Jersey,Democratic,Senate: 2013-Present,
"Senator Boozman, John",https://www.congress.gov/member/john-boozman/B001236,Arkansas,Republican,Senate: 2011-Present House: 2001-2011,
"Delegate Bordallo, Madeleine Z.",https://www.congress.gov/member/madeleine-bordallo/B001245,Guam,Democratic,House: 2003-2019,At Large
"Representative Boren, Dan",https://www.congress.gov/member/dan-boren/B001254,Oklahoma,Democratic,House: 2005-2013,2
"Senator Boren, David L.",https://www.congress.gov/member/david-boren/B000639,Oklahoma,Democratic,Senate: 1979-1995,
"Representative Borski, Robert A.",https://www.congress.gov/member/robert-borski/B000644,Pennsylvania,Democratic,House: 1983-2003,3
"Senator Boschwitz, Rudy",https://www.congress.gov/member/rudolf-boschwitz/B000647,Minnesota,Republican,Senate: 1979-1991,
"Representative Bosco, Douglas H.",https://www.congress.gov/member/douglas-bosco/B000648,California,Democratic,House: 1983-1991,1
"Representative Bost, Mike",https://www.congress.gov/member/mike-bost/B001295,Illinois,Republican,House: 2015-Present,12
"Representative Boswell, Leonard L.",https://www.congress.gov/member/leonard-boswell/B000652,Iowa,Democratic,House: 1997-2013,3
"Representative Boucher, Rick",https://www.congress.gov/member/rick-boucher/B000657,Virginia,Democratic,House: 1983-2011,9
"Representative Boulter, Beau",https://www.congress.gov/member/e-boulter/B000666,Texas,Republican,House: 1985-1989,13
"Representative Bourdeaux, Carolyn",https://www.congress.gov/member/carolyn-bourdeaux/B001312,Georgia,Democratic,House: 2021-Present,7
"Representative Boustany, Charles W., Jr.",https://www.congress.gov/member/charles-boustany/B001255,Louisiana,Republican,House: 2005-2017,3
"Representative Bowen, David R.",https://www.congress.gov/member/david-bowen/B000682,Mississippi,Democratic,House: 1973-1983,2
"Representative Bowman, Jamaal",https://www.congress.gov/member/jamaal-bowman/B001223,New York,Democratic,House: 2021-Present,16
"Senator Boxer, Barbara",https://www.congress.gov/member/barbara-boxer/B000711,California,Democratic,Senate: 1993-2017 House: 1983-1993,
"Representative Boyd, Allen",https://www.congress.gov/member/allen-boyd/B000716,Florida,Democratic,House: 1997-2011,2
"Representative Boyda, Nancy E.",https://www.congress.gov/member/nancy-boyda/B001258,Kansas,Democratic,House: 2007-2009,2
"Representative Boyle, Brendan F.",https://www.congress.gov/member/brendan-boyle/B001296,Pennsylvania,Democratic,House: 2015-Present,2
"Representative Brademas, John",https://www.congress.gov/member/john-brademas/B000736,Indiana,Democratic,House: 1959-1981,3
"Senator Bradley, Bill",https://www.congress.gov/member/william-bradley/B001225,New Jersey,Democratic,Senate: 1979-1997,
"Representative Bradley, Jeb",https://www.congress.gov/member/jeb-bradley/B001246,New Hampshire,Republican,House: 2003-2007,1
"Representative Brady, Kevin",https://www.congress.gov/member/kevin-brady/B000755,Texas,Republican,House: 1997-Present,8
"Senator Brady, Nicholas",https://www.congress.gov/member/nicholas-brady/B000756,New Jersey,Republican,Senate: 1981-1983,
"Representative Brady, Robert A.",https://www.congress.gov/member/robert-brady/B001227,Pennsylvania,Democratic,House: 1997-2019,1
"Representative Braley, Bruce L.",https://www.congress.gov/member/bruce-braley/B001259,Iowa,Democratic,House: 2007-2015,1
