name,city,state,url
Palos Verdes Gem & Mineral Society,Rolling Hills Estates,California,http://www.palos-verdes-gem-and-mineral-society.org/
Paradise Gem & Mineral Club,Paradise,California,http://www.paradisegem.org/
Pasadena Lapidary Society,Pasadena,California,http://www.pasadenalapidarysociety.org/
"Peninsula Gem & Geology Society, Inc.",Los Altos,California,http://pggs.org/
Roseville Rock Rollers,Roseville,California,http://www.rockrollers.com/
Route 66 Gold Miners Inc,Brea,California,http://www.route66goldminers.org/
Sacramento Mineral Society,Sacramento,California,http://www.sacramentomineralsociety.org/
Sacramento Valley Detecting Buffs,North Highlands,California,http://www.sacramentovalleydetectingbuffs.com/
Salinas Valley Rock and Gem Club,Salinas,California,https://salinasrockandgem.pagecloud.com/
San Diego Gem and Mineral Society,San Diego,California,http://www.sdmg.org/
San Diego Lapidary Society,San Diego,California,http://sandiegolapidarysociety.org/
"San Francisco Gem and Mineral Society, Inc.",San Francisco,California,http://www.sfgms.org/
San Joaquin Valley Lapidary Society,Bakersfield,California,http://sjvls.blogspot.com/
San Luis Obispo Gem & Mineral Club,San Luis Obispo,California,http://www.slogem.org/
"Santa Ana Rock & Mineral Club, Inc.",Santa Ana,California,http://www.sarmclub.org/
Santa Clara Valley Gem & Mineral Society,San Jose,California,http://www.scvgms.org/
Santa Cruz Mineral and Gem Society,Santa Cruz,California,https://www.facebook.com/scmgs/
Santa Lucia Rockhounds,Paso Robles,California,http://www.slrockhounds.org/
"Santa Rosa Mineral And Gem Society, Inc.",Santa Rosa,California,http://www.srmgs.org/
Searchers Gem and Mineral Society,Anaheim,California,https://www.searchersrocks.org/
"Searles Lake Gem and Mineral Society, Inc.",Trona,California,http://www1.iwvisp.com/tronagemclub/
Sequoia Gem and Mineral Society,Redwood City,California,http://www.sequoiagemandmineralsociety.org/
Shadow Mountain Gem & Mineral Society,Palm Springs,California,http://www.shadowmountaingemmineral.org/
Shasta Gem & Mineral Society,Redding,California,http://www.shastagemandmineral.com/
Sierra Pelona Rock Club,Newhall,California,http://www.sierrapelona.com/
South Bay Lapidary & Mineral Society,Torrance,California,https://southbaylapidaryandmineralsociety.com/
South Orange County Gem & Mineral Society,San Clemente,California,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
Southern California Paleontological Society,Los Angeles,California,http://socalpaleo.com/
Stockton Lapidary & Mineral Club,Stockton,California,http://www.stocktonlapidary.com/
Sutter Buttes Gem & Mineral Society,Marysville,California,https://sutterbuttesgemmin.org/
Tehachapi Valley Gem & Mineral Society,Tehachapi,California,http://www.tvgms.org/
Tule Gem and Mineral Society,Farmersville,California,http://www.tulegem.com/
Vallejo Gem & Mineral Society,Vallejo,California,http://www.vjgems.org/
"Valley Prospectors, Inc.",San Bernardino,California,https://www.valleyprospectors.com/
"Ventura Gem & Mineral Society, Inc",Ventura,California,http://vgms.org/
Victor Valley Gem and Mineral Club,Victorville,California,http://www.vvgmc.org/
Vista Gem & Mineral Society,Vista,California,http://www.vistarocks.org/
West Coast Prospectors & Treasure Hunters Association,Garden Grove,California,http://westcoasters.org/
West End Prospectors Corporation,Norco,California,http://www.wepcgold.com
"Whittier Gem and Mineral Society, Inc.",Whittier,California,http://wgmsca.com/index.html
"Woodland Hills Rock Chippers, Inc.",San Fernando Valley,California,http://www.rockchippers.org/
Yucaipa Valley Gem & Mineral Society,Yucaipa,California,http://www.yvgms.org/wiki/
Canon City Geology Club,Canon City,Colorado,http://www.canoncitygeologyclub.com/
Colorado Gold Camp,Frisco,Colorado,http://coloradogoldcamp.com/
Colorado Mineral Society,Lakewood,Colorado,http://www.coloradomineralsociety.org/
Colorado Prospector,Alamosa,Colorado,http://www.coloradoprospector.com/
Colorado Springs Mineral Society,Colorado Springs,Colorado,http://www.csms1936.com/
Columbine Gem and Mineral Society,Salida,Colorado,https://rockaholics.org/
Denver Gem and Mineral Guild,Denver,Colorado,http://denvergem.org/index.html
Flatirons Mineral Club,Boulder,Colorado,http://flatironsmineralclub.org/
Fort Collins Rockhounds,Fort Collins,Colorado,http://www.fortcollinsrockhounds.org/
Four Corners Gem & Mineral Club,Durango,Colorado,http://www.durangorocks.org/
Friends of Mineralogy - Colorado Chapter ,Denver,Colorado,http://friendsofmineralogycolorado.org/
Grand Junction Gem & Mineral Club,Grand Junction,Colorado,http://www.grandjunctionrockclub.org/
Lake George Gem & Mineral club,Lake George,Colorado,http://www.lggmclub.org/
